StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1 Single choice,Q2 Multiple choice_1,Q2 Multiple choice_2,Q2 Multiple choice_3,Q2 Multiple choice_4,Q2 Multiple choice_5,Q2 Multiple choice_6,Q3 Dropdown list,Q4 Certified,Q5 Random choice,Q6 Text entry,Q7 Multi line text,Q8 Form field_1,Q8 Form field_2,Q8 Form field_3,Q8 Form field_4,Q9 Rank order_1,Q9 Rank order_2,Q9 Rank order_3,Q9 Rank order_4,Q9 Rank order_5,Q10 Matrix table_1,Q10 Matrix table_2,Q10 Matrix table_3,Q11 Slider_1,Q11 Slider_2,Q11 Slider_3,Q12 Side by side#1_1,Q12 Side by side#1_2,Q12 Side by side#1_3,Q12 Side by side#1_4,Q12 Side by side#1_5,Q12 Side by side#1_6,Q12 Side by side#1_7,Q12 Side by side#1_8,Q12 Side by side#2_1,Q12 Side by side#2_2,Q12 Side by side#2_3,Q12 Side by side#2_4,Q12 Side by side#2_5,Q12 Side by side#2_6,Q12 Side by side#2_7,Q12 Side by side#2_8,Q13 End of survey
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,79,True,2024-01-21 01:37:24,R_8H3GCq0wtaNCfKm,,,,,,,preview,EN,Not useful,,,,To practice building and editing a survey without starting from scratch,,,Somewhat disagree,45-54 years old,Single-answer multiple choice questions,,,Catherine,Roberts,Catherine.Roberts@fakeemail.com,521-231-5000,1,2,4,5,3,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,3,3,1,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Yes,Not sure,Not sure,Yes,Not sure,Not sure,Yes,No,No
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,75,True,2024-01-21 01:37:24,R_aiaBjSWugjTnXgO,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,To explore the different features and functionality of the survey editor tool,,To see if Qualtrics provides the features I need to build the survey I have planned,,Strongly agree,25-34 years old,Single-answer multiple choice questions,"event planning, event feedback",I think this is really helpful and I like the different examples that illustrate how different question types work.,Brian,Gonzalez,Brian.Gonzalez@fakeemail.com,521-231-5500,3,4,5,1,2,Strongly agree,Somewhat agree,Strongly agree,5,5,5,Somewhat easy,Somewhat easy,Very easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Neither easy nor difficult,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,89,True,2024-01-21 01:37:24,R_bf41KXAuaRyVP9A,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,To explore the different features and functionality of the survey editor tool,,To see if Qualtrics provides the features I need to build the survey I have planned,,Somewhat agree,18-24 years old,Single-answer multiple choice questions,,,Diane,Edwards,Diane.Edwards@fakeemail.com,521-231-6500,1,2,4,3,5,Strongly agree,Somewhat agree,Strongly agree,5,5,5,Very easy,Very easy,Very easy,Very easy,Very easy,Somewhat easy,Very easy,Somewhat easy,Yes,Yes,Not sure,Yes,No,Not sure,Yes,No,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,139,True,2024-01-21 01:37:24,R_d3Zr8ngGxJ85rF4,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,To see best practices in survey construction and design,,,,,Strongly agree,45-54 years old,Single-answer multiple choice questions,,I would like more information about conditional questions and survey flow,Joyce,Flores,Joyce.Flores@fakeemail.com,521-231-3000,1,2,5,4,3,Somewhat agree,Strongly agree,Strongly agree,4,4,4,Very easy,Very easy,Very easy,Somewhat easy,Very easy,Neither easy nor difficult,Somewhat easy,Somewhat easy,Yes,Not sure,Yes,Yes,Not sure,No,Yes,Need more information,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,120,True,2024-01-21 01:37:24,R_ddwpvVglXabjWm2,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,,,To see if Qualtrics provides the features I need to build the survey I have planned,,Strongly agree,35-44 years old,Single-answer multiple choice questions,,,Jose,Edwards,Jose.Edwards@fakeemail.com,521-231-8100,3,4,5,2,1,Strongly agree,Strongly agree,Strongly agree,5,5,5,Somewhat easy,Somewhat easy,Very easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat difficult,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,189,True,2024-01-21 01:37:24,R_di2gEC0rP1J0NzE,,,,,,,preview,EN,Neither useful nor not useful,,,,To practice building and editing a survey without starting from scratch,,,Neither agree nor disagree,65+ years old,Dropdown list multiple choice questions,"product feedback, website feedback",this should be more interactive and include other features,Jerry,Torres,Jerry.Torres@fakeemail.com,521-231-5000,2,5,3,1,4,Somewhat agree,Somewhat disagree,Neither agree nor disagree,3,2,1,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Somewhat difficult,Neither easy nor difficult,Very difficult,Yes,Yes,Yes,Yes,No,Not sure,Yes,Need more information,No
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,124,True,2024-01-21 01:37:24,R_e3Ot9ljVM4VVObs,,,,,,,preview,EN,Not useful,,,,,,"None of the above (this answer is ""exclusive"" which means you can't choose it with any other option - it can be set using the response menu that becomes available when you click into the answer to make edits)",Somewhat disagree,65+ years old,Dropdown list multiple choice questions,,,Evelyn,Rogers,Evelyn.Rogers@fakeemail.com,521-231-6700,1,2,5,3,4,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,3,2,1,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,No
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,116,True,2024-01-21 01:37:24,R_enh6S6dzmkN04zY,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,,To practice building and editing a survey without starting from scratch,,,Strongly agree,18-24 years old,Single-answer multiple choice questions,,,Philip,Perry,Philip.Perry@fakeemail.com,521-231-5200,1,2,5,4,3,Strongly agree,Somewhat agree,Strongly agree,5,5,5,Somewhat easy,Somewhat easy,Very easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat easy,Very difficult,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Need more information,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,104,True,2024-01-21 01:37:24,R_1YSV94HnpeUAHpY,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,To explore the different features and functionality of the survey editor tool,,To see if Qualtrics provides the features I need to build the survey I have planned,,Strongly agree,18-24 years old,Single-answer multiple choice questions,,Really useful to see how different question types work. Especially like the comments on best practices and how to optimize for mobile - would like even more of that type of content.,Christina,Murphy,Christina.Murphy@fakeemail.com,521-231-7900,2,1,3,4,5,Strongly agree,Strongly agree,Strongly agree,5,5,4,Very easy,Very easy,Very easy,Very easy,Very easy,Somewhat easy,Very easy,Somewhat easy,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,89,True,2024-01-21 01:37:24,R_3HJUaSjRfCBgCH4,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,To explore the different features and functionality of the survey editor tool,,,,Strongly agree,35-44 years old,Single-answer multiple choice questions,NPS,I feel like it's pretty long but also has been useful,Billy,Gray,Billy.Gray@fakeemail.com,521-231-9100,2,3,5,4,1,Strongly agree,Strongly agree,Somewhat agree,4,5,5,Very easy,Very easy,Very easy,Somewhat easy,Very easy,Somewhat easy,Very easy,Somewhat difficult,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Need more information,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,77,True,2024-01-21 01:37:24,R_3vXXb7tv4uogYM6,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,,,,,Strongly agree,45-54 years old,Single-answer multiple choice questions,,,Emma,Ramirez,Emma.Ramirez@fakeemail.com,521-231-6500,3,2,5,4,1,Strongly agree,Strongly agree,Strongly agree,5,5,5,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Very easy,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes
2021-09-02 00:29:50,2021-09-02 00:29:50,Imported,,100,630,True,2024-01-21 01:37:24,R_cZPXTgwJn4BL5rw,,,,,,,preview,EN,Useful,To learn about different question types and how to use them,,,,,,Strongly agree,25-34 years old,Single-answer multiple choice questions,polls,I thought there would be more information on the survey builder tool and how to use it,Sara,Brooks,Sara.Brooks@fakeemail.com,521-231-4500,1,2,4,5,3,Strongly agree,Strongly agree,Strongly agree,5,5,5,Very easy,Very easy,Very easy,Somewhat easy,Very easy,Somewhat easy,Very easy,Somewhat easy,Yes,No,Yes,Yes,Not sure,No,Yes,Need more information,Yes
2024-02-02 12:17:53,2024-02-03 08:40:08,IP Address,104.28.124.180,73,73335,False,2024-02-10 08:40:09,R_62LwG6itKcvqz6j,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
